ChampionOfChampions,ContestantName
CoC1,Bob Mortimer
CoC1,Josh Widdicombe
CoC1,Katherine Ryan
CoC1,Noel Fielding
CoC1,Rob Beckett
CoC2,Ed Gamble
CoC2,Kerry Godliman
CoC2,Liza Tarbuck
CoC2,Lou Sanders
CoC2,Richard Herring
CoC3,Dara Ó Briain
CoC3,Kiell Smith-Bynoe
CoC3,Morgana Robinson
CoC3,Sarah Kendall
CoC3,Sophie Duker
CoC4,Andy Zaltzman
CoC4,John Robins
CoC4,Maisie Adam
CoC4,Mathew Baynton
CoC4,Sam Campbell
